alcaldia,mean_betweenness,mean_grado,mean_clustering,total_grado_ponderado,n_estaciones
Iztapalapa,0.0,7.470588235294118,0.7647058823529411,1400347.6728142076,17
Otro,0.0038605697151424287,7.379310344827586,0.54935060544594,2199053.2112932606,29
Venustiano Carranza,0.0,2.9411764705882355,0.4117647058823529,686779.7210837888,17
Miguel Hidalgo,0.002740226525392766,10.882352941176471,0.6538633065375101,5449055.077185793,34
Cuauhtemoc,0.009725400457665904,12.210526315789474,0.5431296413958953,2476657.114981785,19
Benito Juarez,0.003666713721061547,10.5,0.6102385196502843,2944804.3970856103,22
Gustavo A. Madero,0.0014056881333769206,5.526315789473684,0.485506852787283,1769958.7957650274,19
Azcapotzalco,0.002872670807453416,14.0,0.5604395604395604,173584.94535519124,1
Alvaro Obregon,0.0,11.0,1.0,297432.6967213115,1
Tlalpan,0.0,0.0,0.0,0.0,1
Tlahuac,0.0,0.0,0.0,0.0,1
Coyoacan,0.0,14.0,1.0,342717.29439890705,1
