alcaldia,mean_betweenness,mean_grado,mean_clustering,total_grado_ponderado,n_estaciones,total_casos
Iztapalapa,0.0,7.470588235294118,0.7647058823529411,1400347.6728142076,17,40808
Venustiano Carranza,0.0,2.9411764705882355,0.4117647058823529,686779.7210837888,17,55354
Miguel Hidalgo,0.002740226525392766,10.882352941176471,0.6538633065375101,5449055.077185793,34,52617
Benito Juarez,0.003666713721061547,10.5,0.6102385196502843,2944804.3970856103,22,19110
Gustavo A. Madero,0.0014056881333769206,5.526315789473684,0.485506852787283,1769958.7957650274,19,159353
Azcapotzalco,0.002872670807453416,14.0,0.5604395604395604,173584.94535519124,1,53332
Alvaro Obregon,0.0,11.0,1.0,297432.6967213115,1,29569
Tlalpan,0.0,0.0,0.0,0.0,1,54158
Tlahuac,0.0,0.0,0.0,0.0,1,104079
Coyoacan,0.0,14.0,1.0,342717.29439890705,1,151823
